Company Name,Stock Code,Year,tc,en
Great World Company Holdings Limited,8003,1999,http://www.hkexnews.hk/newlistings/prospectuses/tc_8003pro-19991123.pdf,http://www.hkexnews.hk/newlistings/prospectuses/e_8003pro-19991123.pdf
Yuxing Infotech Investment Holdings Limited,8005,,http://www.hkexnews.hk/newlistings/prospectuses/tc_8005pro-20000125.pdf,
Sino Splendid Holdings Limited,8006,2000,,
Global Strategic Group Limited,8007,,,
Sunevision Holdings Limited,8008,,,
Chinese Energy Holdings Limited,8009,,,
Polyard Petroleum International Group Limited,8011,,,
World-Link Logistics (Asia) Holding Limited,8012,,,
Changhong Jiahua Holdings Limited,8016,,,
Finsoft Financial Investment Holdings Limited,8018,,,
Hao Wen Holdings Limited,8019,,,
Unitas Holdings Limited,8020,,,
WLS Holdings Limited,8021,,,
Evershine Group Holdings Limited,8022,,,
Asian Capital Resources (Holdings) Limited,8025,,,
Prosten Health Holdings Limited,8026,,,
KPM Holding Limited,8027,,,
Timeless Software Limited,8028,,,
Sun International Resources Limited,8029,,,
Flying Financial Service Holdings Limited,8030,,,
ETS Group Limited,8031,,,
Viva China Holdings Limited,8032,,,
Vodatel Networks Holdings Limited,8033,,,
Janco Holdings Limited,8035,,,
Rui Kang Pharmaceutical Group Investments Limited,8037,,,
Golden Power Group Holdings Limited,8038,,,
KNK Holdings Limited,8039,,,
Luxey International (Holdings) Limited,8041,,,
Jiangsu Nandasoft Technology Company Limited,8045,,,
Heng Xin China Holdings Limited,8046,,,
China Ocean Fishing Holdings Limited,8047,,,
Yu Tak International Holdings Limited,8048,,,
Easy Repay Finance & Investment Limited,8079,,,
North Asia Strategic Holdings Limited,8080,,,
Interactive Entertainment China Cultural Technology Investments Limited,8081,,,
Sage International Group Limited,8082,,,
China Innovationpay Group Limited,8083,,,
Hong Kong Life Sciences and Technologies Group Limited,8085,,,
DX.com Holdings Limited,8086,,,
China 33 Media Group Limited,8087,,,
AID Partners Technology Holdings Limited,8088,,,
Chinese Strategic Holdings Limited,8089,,,
China Assurance Finance Group Limited,8090,,,
OOH Holdings Limited,8091,,,
ITE (Holdings) Limited,8092,,,
Million Stars Holdings Limited,8093,,,
Beijing Beida Jade Bird Universal Sci-Tech Company Limited,8095,,,
CL Group (Holdings) Limited,8098,,,
GET Holdings Limited,8100,,,
Jia Meng Holdings Limited,8101,,,
Li Bao Ge Group Limited,8102,,,
Trillion Grand Corporate Company Limited,8103,,,
Shenghua Lande Scitech Limited,8106,,,
Grand Peace Group Holdings Limited,8108,,,
Kirin Group Holdings Limited,8109,,,
China Technology Solar Power Holdings Limited,8111,,,
Focus Media Network Limited,8112,,,
PF Group Holdings Limited,8221,,,
E Lighting Group Holdings Limited,8222,,,
China Health Group Inc.,8225,,,
KOALA Financial Group Limited,8226,,,
"Xi\an Haitian Antenna Holdings Co., Ltd.",8227,,,
National Arts Entertainment and Culture Group Limited,8228,,,
Future Data Group Limited,8229,,,
China Yu Tian Holdings Limited,8230,,,
PFC Device. Inc.,8231,,,
Classified Group (Holdings) Limited,8232,,,
CIG Yangtze Ports PLC,8233,,,
CCID Consulting Company Limited,8235,,,
Powerleader Science & Technology Group Limited,8236,,,
Link Holdings Limited,8237,,,
Winto Group (Holdings) Limited,8238,,,
Capital Finance Holdings Limited,8239,,,
Goal Forward Holdings Limited,8240,,,
Megalogic Technology Holdings Limited,8242,,,
Dahe Media Company Limited,8243,,,
On Real International Holdings Limited,8245,,,
Northern New Energy Holdings Limited,8246,,,
Biosino Bio-Technology and Science Incorporation,8247,,,
Zhejiang RuiYuan Intelligent Control Technology Company Limited,8249,,,
Silk Road Energy Services Group Limited,8250,,,
A.Plus Group Holdings Limited,8251,,,
Yangzhou Guangling District Taihe Rural Micro-finance Company Limited,8252,,,
China Binary Sale Technology Limited,8255,,,
Netel Technology (Holdings) Limited,8256,,,
Genes Tech Group Holdings Company Limited,8257,,,
Shaanxi Northwest New Technology Industry Company Limited,8258,,,
Yin He Holdings Limited,8260,,,
Haitian Energy International Limited,8261,,,
Super Strong Holdings Limited,8262,,,
China Trustful Group Limited,8265,,,
Gold Tat Group International Limited,8266,,,
"Linekong Interactive Group Co., Ltd.",8267,,,
Deson Construction International Holdings Limited,8268,,,
Wealth Glory Holdings Limited,8269,,,
China CBM Group Company Limited,8270,,,
Global Digital Creations Holdings Limited,8271,,,
Chinese Food and Beverage Group Limited,8272,,,
Zhejiang Prospect Company Limited,8273,,,
Steed Oriental Resources (Holdings) Company Limited,8277,,,
