A,B,C,D
1.6083,140.21,1.1919,1.3702
1.6087,140.33,1.195,1.3541
1.6108,140.62,1.1959,1.3468
1.5964,140.83,1.1972,1.3453
1.6052,140.55,1.1964,1.3371
1.6096,141.33,1.1949,1.3394
1.6113,141.85,1.1961,1.3405
1.6204,142.44,1.1939,1.3416
1.6152,141.42,1.1947,1.3414
1.6215,142.41,1.192,1.3365
1.6165,142.29,1.1916,1.3321
1.6144,141.97,1.1912,1.3333
1.6177,141.66,1.1895,1.3243
1.6333,142.14,1.1903,1.3298
1.6392,142.83,1.1902,1.3254
1.6319,142.52,1.1927,1.3294
1.6208,142.71,1.1934,1.3347
1.6235,142.79,1.192,1.3414
1.6317,143.31,1.191,1.3378
1.628,143.32,1.193,1.3392
1.614,142.82,1.1924,1.3459
1.612,142.9,1.1928,1.3486
1.612,142.9,1.1928,1.3486
1.6115,142.62,1.1893,1.3369
1.604,142.58,1.1895,1.3344
