Ranking,Fund Short Name,Fund Company,Dummy,Lastest NAV,Dummy,Recent Month Return,Dummy,Annalized Return,Dummy,Cumulative Return,Sharpe Ratio,Year Rating,Investment Strategy
451,中信·金百镕风险缓冲8期,中信信托有限,4.1039%,99.4400,4.1039%,4.1039%,4.1039%,-1.3394%,4.1039%,-0.5600%,,,
452,鸿友1期投资私募基金,福建鸿友投资,-11.8974%,0.8590,-11.8974%,-0.2323%,-11.8974%,-17.3244%,-11.8974%,-14.1000%,,,
453,中信·金百镕风险缓冲8期,中信信托有限,4.1039%,99.4400,4.1039%,4.1039%,4.1039%,-1.3394%,4.1039%,-0.5600%,,,
454,乔戈里蓝筹精选3号定增基,宁波乔格理投,84.8036%,2.8700,84.8036%,5.1282%,84.8036%,--,84.8036%,187.0000%,,,
455,小松复利一号私募基金,北京小松资本,0.5900%,1.0059,0.5900%,2.8002%,0.5900%,--,0.5900%,0.5900%,,,
456,中信·沃珑港卧龙10期证,中信信托有限,-9.4828%,0.8190,-9.4828%,-2.6969%,-9.4828%,-17.9441%,-9.4828%,-18.1000%,,,
457,外贸信托·中证500指数,中国对外经济,11.5019%,1.0683,11.5019%,0.2816%,11.5019%,--,11.5019%,6.8300%,,,
458,安天诚汇安1号私募投资基,深圳市前海安,-26.5894%,0.7217,-26.5894%,-17.2267%,-26.5894%,--,-26.5894%,-27.8300%,,,
459,冲和华赢7号2期私募基金,北京冲和资产,-2.5000%,0.9750,-2.5000%,-2.0101%,-2.5000%,--,-2.5000%,-2.5000%,,,
460,外贸信托·弘尚同享共赢3,中国对外经济,4.5705%,1.0433,4.5705%,3.8626%,4.5705%,--,4.5705%,4.3404%,,,
461,中信·沣沛风险缓冲金融投,中信信托有限,27.0392%,1.2709,27.0392%,4.5062%,27.0392%,--,27.0392%,27.0900%,,,
462,中信·神农尊享E期证券投,中信信托有限,22.1419%,113.1400,22.1419%,7.5271%,22.1419%,16.6753%,22.1419%,13.1400%,,,
463,九水健康成长私募证券投资,上海九水投资,8.5749%,0.9737,8.5749%,0.9748%,8.5749%,3.9057%,8.5749%,-2.6300%,,,
464,中信·高毅晓峰尊享D期证,中信信托有限,45.3486%,158.4300,45.3486%,8.0401%,45.3486%,45.2820%,45.3486%,58.4300%,,,
465,融启-月月盈一号量化对冲,上海融启投资,10.6979%,1.0860,10.6979%,12.5389%,10.6979%,10.4713%,10.6979%,18.3000%,,,
466,外贸信托·星石尊享AS期,中国对外经济,21.9632%,1.1145,21.9632%,4.5693%,21.9632%,18.6775%,21.9632%,11.4500%,,,
467,外贸信托·富善优享7号稳,中国对外经济,-2.4880%,0.9563,-2.4880%,--,-2.4880%,--,-2.4880%,-4.3700%,,,
468,外贸信托·淡水泉尊享AA,中国对外经济,31.2095%,1.3756,31.2095%,--,31.2095%,--,31.2095%,37.5600%,,,
469,外贸信托·汇鑫89号(长,中国对外经济,66.0178%,1.8081,66.0178%,--,66.0178%,--,66.0178%,80.8100%,,,
470,双诚配置8号证券投资基金,深圳双诚资产,14.5439%,1.3310,14.5439%,1.0630%,14.5439%,16.1431%,14.5439%,33.1000%,,,
471,华润信托·景林丰收浦慧系,华润深国投信,46.2552%,116.5800,46.2552%,8.2552%,46.2552%,47.5136%,46.2552%,16.5800%,,,
472,博先1号证券投资基金,上海博先投资,19.8592%,1.0043,19.8592%,3.6002%,19.8592%,18.0557%,19.8592%,0.4300%,,,
473,平安信托·黄金优选1期3,平安信托有限,31.4833%,120.1100,31.4833%,4.3890%,31.4833%,25.8092%,31.4833%,20.1100%,,,
474,平安财富·黄金优选28期,平安信托有限,26.1416%,107.4600,26.1416%,8.2284%,26.1416%,21.1363%,26.1416%,7.4600%,,,
475,平安财富·黄金优选13期,平安信托有限,22.5143%,96.4800,22.5143%,4.5740%,22.5143%,19.5687%,22.5143%,-3.5200%,,,
476,平安信托·黄金优选33期,平安信托有限,17.5309%,66.6400,17.5309%,-1.7833%,17.5309%,16.2596%,17.5309%,-33.3600%,,,
477,华宝·源贝揽胜二期集合资,华宝信托有限,1.7610%,0.8834,1.7610%,1.9739%,1.7610%,1.9254%,1.7610%,-10.9200%,,,
478,外贸信托·锐进12期鼎萨,中国对外经济,-0.1831%,1.0901,-0.1831%,--,-0.1831%,--,-0.1831%,9.0100%,,,
479,外贸信托·重阳对冲3号汇,中国对外经济,11.0503%,1.2994,11.0503%,4.9342%,11.0503%,8.9826%,11.0503%,29.9400%,,,
480,华润信托·民森尊享V期集,华润深国投信,20.4982%,0.9288,20.4982%,3.3378%,20.4982%,17.5845%,20.4982%,-7.1200%,,,
481,外贸信托·星石尊享J期集,中国对外经济,21.9716%,1.6382,21.9716%,4.5704%,21.9716%,18.6757%,21.9716%,63.8200%,,,
482,华宝·博识众彩TOF投资,华宝信托有限,11.9329%,1.4014,11.9329%,2.2472%,11.9329%,10.5379%,11.9329%,40.1400%,,,
483,华润信托·赤子之心招商单,华润深国投信,54.4206%,157.3700,54.4206%,10.5592%,54.4206%,53.9071%,54.4206%,57.3700%,,,
484,外贸信托·锐进26期远策,中国对外经济,30.8276%,1.2235,30.8276%,8.0449%,30.8276%,30.2150%,30.8276%,22.3500%,,,
485,平安财富·黄金优选13期,平安信托有限,22.3852%,122.6300,22.3852%,4.5528%,22.3852%,19.4642%,22.3852%,22.6300%,,,
486,外贸信托·锐进25期盈信,中国对外经济,43.8341%,1.4113,43.8341%,4.2396%,43.8341%,38.3356%,43.8341%,41.1300%,,,
487,外贸信托·朱雀灵活阿尔法,中国对外经济,-5.9797%,1.0000,-5.9797%,0.0000%,-5.9797%,-6.4459%,-5.9797%,0.0000%,,,
488,外贸信托·锐进12期鼎萨,中国对外经济,-0.1947%,0.7177,-0.1947%,-3.5868%,-0.1947%,-1.9402%,-0.1947%,-28.2300%,,,
489,外贸信托·铜爵战略新兴产,中国对外经济,-2.2390%,0.7903,-2.2390%,--,-2.2390%,--,-2.2390%,-20.9700%,,,
490,外贸信托·鸿道尊享L期集,中国对外经济,21.3571%,0.7637,21.3571%,0.3680%,21.3571%,14.4978%,21.3571%,-23.6300%,,,
491,外贸信托·鸿道尊享H期集,中国对外经济,21.3571%,0.7637,21.3571%,0.3548%,21.3571%,14.4978%,21.3571%,-23.6300%,,,
492,平安财富·投资精英之朱雀,平安信托有限,26.1738%,279.7400,26.1738%,3.8189%,26.1738%,27.7235%,26.1738%,179.7400%,,,
493,中海·聚发(25)·保证,中海信托股份,0.1610%,0.9954,0.1610%,-0.1505%,0.1610%,-0.8416%,0.1610%,199.5400%,,,
494,外贸信托·双赢(7期)阳,中国对外经济,23.0272%,2.5319,23.0272%,4.6672%,23.0272%,20.2974%,23.0272%,153.1900%,,,
495,中融-冰剑2号证券投资集,中融国际信托,38.9214%,1.0848,38.9214%,7.5435%,38.9214%,34.0596%,38.9214%,135.8600%,,,
496,外贸信托·朱雀漂亮阿尔法,中国对外经济,-0.4331%,1.1954,-0.4331%,-0.0251%,-0.4331%,-0.7473%,-0.4331%,19.5400%,,,
497,华润信托·博道精选A号集,华润深国投信,9.7092%,1.8486,9.7092%,3.0320%,9.7092%,2.8200%,9.7092%,84.8600%,,,
498,平安信托·金蕴38期(上,平安信托有限,2.8672%,145.6600,2.8672%,4.6709%,2.8672%,-1.2006%,2.8672%,45.6600%,,,
499,华润信托·展博投资尊享系,华润深国投信,24.2967%,1.6391,24.2967%,5.4287%,24.2967%,15.3565%,24.2967%,63.9100%,,,
500,外贸信托·锐进12期鼎萨,中国对外经济,-0.1849%,1.2419,-0.1849%,-3.5792%,-0.1849%,-1.9424%,-0.1849%,24.2024%,,,
