Date,Year of Study,Subject,Sex,Location,Time,Salary,Remarks
,中四, 數學, 女-1名, 仁安大廈(廣華醫院附近), 1.5hr, $160/1hr,
,中四, 繪畫, 女-1名, 仁安大廈(廣華醫院附近), 2hr, $250/1hr,
,中四, 數學(M2), 女-1名, 洞梓路, 1hr, $180/1hr, 大學程度 11:00
,小三, 全科, 男-1名, 大隴街怡勝花園, 1.5hr, $110/1hr, 大學程度 一二四 16:30後
,中四, 敲擊樂, 女-1名, 柏景灣, 1hr, $300/1hr, 五級 女導師
,小四, 奧數, 男-1名, 黃竹坑深灣3號南濤閣, 2hr, $180/1hr, 大學畢業 星期六/日 19:00-21:00
,成人(初級), 意大利語, 女-1名, 香港大學站, 1.5hr, $200/1hr, 大學程度 上午/下午
,小四, 全科, 女-1名, 穗禾苑, 2hr, $120/1hr, 大學程度 女導師 一 18:00 二五 16:00
,成人(大學一年級), 數學, 男-1名, 地鐵站附近, 2hr, $350/1hr,
,HighDip, 生物心理學, 女-1名, 荃灣花園, 1.5hr, $280/1hr, 大學畢業 下午/晚上
,小二(初學), 敲擊樂(木琴, 女-1名, 曼克頓山, 1hr, $220/1hr, 演奏級 一/六 1800-1845 日 1100
,小四, 全科, 男-1名, 大尾督龍尾, 1.5hr, $100/1hr, 大學程度 二 三 四 19:30/20:00
,中一, 中文, 男-1名, 西營盤, 1.5hr, $150/1hr, 大學程度 女導師 二 / 四 1630
,小六, 中一, 女-2名, 駿景園, 2hr, $200/1hr, 大學畢業 女導師 六 上午/15:00-17:00
,中五, 地理, 男-1名, 九龍仔秀竹園道, 2hr, $300/1hr, 全職補習 六 14:00-16:00
,小五, 全科, 女-1名, 嘉亨灣, 1.5hr, $180/1hr, 全職補習 女導師 一至四 17:00/1730
,小一, 中文, 男-1名, 馬頭圍, 1.5hr, $90/1hr, 中七程度 女導師 一二三五 16:00-19
,5歲, 全科, 男-1名, 維景灣畔, 2hr, $80/1hr, 中五程度 一至五/17:00 要到北角
,中五, 中文, 女-1名, 明珠華軒, 1.5hr, $150/1hr, 大學程度 女導師 六
,小二, 全科, 男-1名, 黃大仙上村, 1hr, $90/1hr, 大學程度 女導師 二 5:00/6:00 一 四 6:00-7:00
,小二, 全科, 男-1名, 藍田村, 1.5hr, $80/1hr, 中七程度 男導師 一至三 18:30/19:00 四 1900
,小二, 全科, 男-1名, 美景花園, 1.5hr, $100/1hr, 大學程度 五 1630-1800
,小四, 英文, 女-1名, 葵馥苑安葵閣, 1.5hr, $120/1hr, 大學程度 女導師 一至四 1730/1800
,小六, 中四, 女-2名, 則魚涌, 2hr, $150/1hr, 中七程度 女導師 五 18:00 日 14:00-16:00
,小三, 英文, 男-1名, 朗庭園, 1.5hr, $120/1hr, 大學程度 女導師 五 16:00後 六 15:00後
,YEAR 10, 英文 / 理科, 女-1名, 九龍塘多實街8號, 1.5hr, $250/1hr, 全職補習 女導師 一至四 17:00
,九級, 二胡, 男-1名, 長青村, 1.5hr, $350/1hr, 八級 星期日 15:00後
,中四, 通識教育, 男-1名, 新都城, 1.5hr, $320/1hr, 現職教師 五/日
,中一, 全科, 女-1名, 美城苑, 1.5hr, $110/1hr, 大學程度 女導師 17:00/18:00
,成人, 社會科學, 女-1名, 駿景園, 3hr, $200/1hr, 全職補習 女導師 SAT OR SUN 2:30-5:30PM
,小三, 中文, 女-2名, 湖光街3號, 1hr, $180/1hr,
,小一, 全科, 女-1名, 東頭湾道, 1.5hr, $100/1hr, 一至四/約1630-1700開始
,4歲, 珠心算, 女-1名, 香港海逸豪園, 1hr, $180 /1hr, 現職教師
,小一, 中文, 女-1名, 日出康城, 1hr, $100/1hr, 中七程度 女導師 一至五/1700-1730開始
,小五, 全科, 男-1名, 翠屏邨, 1.5hr, $100-250 /1hr," 現職教師 女導師 星期五,日PM5:00後"
,中四, 數學, 女-1名, 翠竹花園, 2hr, $140/1hr, 大學程度 女導師 四 19:30-21:30
,小五, 英文, 男-1名, 翠竹花園, 1.5hr, $200/1hr, 全職補習 女導師 一二四 4:30
,小四, 全科, 男-1名, 昌運中心, 1hr, $100/1hr, 大學程度 女導師 二 四 1800-1900
,小五, 全科, 女-1名, 利東邨, 1.5hr, $120/1hr, 大學程度 女導師 二18:00 三四 17:00 (19:30前)
,中一, 中文, 女-1名, 銀禧花園, 1.5hr, $300/1hr, 現職教師 六 1730 / 日 1400/1500後
