Date,Year of Study,Subject,Sex,Location,Time,Salary,Remarks
4小時前,中三 ,"英文,數學,會計",女,將軍澳,"1 堂 x 1.5小時, 星期五",$140,女老師 5PM
6小時前,小一 ,普通話,男,西營盤,"1 堂 x 45分鐘, 星期六",$150,六：全日，需考獲演奏級，有經驗優先，大學生都可，女導師
6小時前,小一 ,普通話,男,西營盤,"1 堂 x 1小時, 星期一至六",$110,平日：4：30PM後，五：3PM後，六：全日，內地來港／有水平測試證書女大學生
12小時前,小五 ,"全科,英文,常識",女,荃灣,"2 堂 x 2小時, 星期一至日",$120,平日：4：30PM後，六日：全日，1-2堂，特殊學校學生，認知比較差，反應較慢，學習形式無所謂，女導師
12小時前,小一 ,"全科,中文,英文",男,荃灣,"2 堂 x 1.5小時, 星期三六日",$100,三：六日：全日，跟功課及溫習，女導師
15小時前,小四 ,全科,男,將軍澳坑口,"4 堂 x 1小時, 星期一二三四",$120,平日：5-5：30PM，男女導師
17小時前,中二 ,全科,男,將軍澳,"3 堂 x 1.5小時, 星期一三五",$120,一三五：5:30pm，需大學或以上程度，中文科L5
1日前,小一 ,全科,女,葵涌,"2 堂 x 1.5小時, 星期三四",$110,"5:15PM,女導師，英文DSE L4以上"
1日前,小五 ,"英文,數學",男,大圍,"1 堂 x 1小時, 星期五",$100,5pm
1日前,小三 ,英文,男,將軍澳坑口,"2 堂 x 1.5小時, 星期一四",$100,"一四：4-5pm,女導師"
1日前,小五 ,"英文,數學",女,沙田,"4 堂 x 1.5小時, 星期一二三四",$100,平日：4-7PM，女導師
1日前,小四 ,數學,女,中上環,"2 堂 x 1.5小時, 星期二三四六",$120,"平日：5：30PM後，六:11AM-2PM,女大學生，數學L5以上"
1日前,中四 ,"經濟,會計",女,天水圍,"1 堂 x 2小時, 星期六",$180,$360／2小時／2位學生，六：全日，女導師，男導師需到公眾地方補
1日前,中四 ,"英文,經濟",女,觀塘,"1 堂 x 1.5小時, 星期六日",$140,MTR 15分鐘 1PM ECON 用中文讀
1日前,中三 ,通識，英國文學，歷史,女,將軍澳,"1 堂 x 1.5小時, 星期六日",$130,六：6-8PM，日：2：30PM後，女大學生，英文讀
1日前,中五 ,經濟,男,西灣河,"1 堂 x 1.5小時, 星期六日",$150,1-2堂，六：6:30pm，日：早上，男導師
1日前,小四 ,全科,女,觀塘,"3 堂 x 1.5小時, 星期一至五",$80,"大專生（$80），女大學生（$100）,5-6:30PM"
1日前,中二 ,全科,男,藍田,"2 堂 x 1.5小時, 星期二四五",$110,二四五：5PM後，女大學生
1日前,中一 ,"中文,英文,數學",男,青衣,"3 堂 x 1.5小時, 星期二四五",$110,主要補數，家有一大狗，二四五：7：30PM，男女導師都可
1日前,中二 ,全科,男,旺角,"7 堂 x 2小時, 星期一至日",$130,補假期21-30/12，每天2PM後補，開學後補2-3堂／星期，修讀理科導師優先，男女大學生
1日前,中五 ,物理,男,西灣河,"1 堂 x 1.5小時, 星期六日",$150,1-2堂，六：11-2am/6:30pm，日：8-12/4pm，男導師，可分2位導師
2日前,小二 ,"中文,英文,數學,普通話",女,荃灣老圍村,"1 堂 x 1.5小時, 星期一四",$120,一四：5-6PM開始，女大學生，普教中
2日前,中三 ,全科,女,沙田圍,"1 堂 x 2小時, 星期二三四五六",$140,二至五：6PM後，女導師，需主修SCIENCE
2日前,小四 ,全科,男,沙田,"3 堂 x 2小時, 星期一三五",$100,一定要一三五 5-5：30PM，女導師，細心，溫柔
2日前,小一 ,英文,男,油麻地,"2 堂 x 1小時, 星期五六日",$90,唐樓行3層樓，五：6PM，六日：10AM，女導師
2日前,中六 ,數學,女,油塘,"1 堂 x 1.5小時, 星期日",$160,大學畢業，有DSE練習提供 10AM
2日前,學前 ,英文,男,大圍,"1 堂 x 1小時, 星期二四",$100,"二／四：5：30PM，女導師，教導3歲小孩英語會話,必須喜歡小朋友和有愛心"
2日前,小五 ,"全科,英文,數學,普通話",男,藍田,"2 堂 x 1小時, 星期一三四五",$130,"女大學生 每次補1hr15mins,每堂$130 一星期兩堂，6PM，星期五必定要補"
2日前,小四 ,英文,女,將軍澳,"2 堂 x 1小時, 星期二五六",$150,提供溫習工作紙更佳 6PM 女導師，英文系
2日前,小五 ,英文,男,九龍,"1 堂 x 1.5小時, 星期二四",$130,二四：5PM，女大學生，DSE L5以上
2日前,小一 ,全科,男,荃灣,"2 堂 x 1.5小時, 星期一三",$120,一：5PM後，三：6PM，女大學生
3日前,小四 ,全科,女,紅磡,"1 堂 x 2小時, 星期六日",$100,女導師，有耐性，有經驗，六日：2PM後
3日前,小二 ,全科,女,調景嶺,"3 堂 x 1.5小時, 星期二四日",$110,二四：5-8PM，日：2-4PM，必須為港大女導師
3日前,小二 ,全科,男,九龍灣,"4 堂 x 1.5小時, 星期一二三四",$80,下午4:30-5:00開始
3日前,大專 ,英文,女,石硤尾,"2 堂 x 2小時, 星期六日",$150,六日：下午，成人學英文，主要學識用英語溝通／商用英文，需提供教材，女導師
3日前,中三 ,數學 英文,女,葵涌,"1 堂 x 1小時, 星期六日",$140,希望導師會間中可以教埋地理 女導師 下午
3日前,小一 ,長笛,男,西半山,"1 堂 x 45分鐘,",$150,5歲半小童，學過半年
3日前,小五 ,英文,男,東涌,"2 堂 x 2小時, 星期一至日",$120,平日：5PM後，六日：全日，L5以上
3日前,小三 ,全科,女,荃灣,"2 堂 x 1.5小時, 星期一至六",$100,女導師，一至五：5PM，五可以3：30PM
3日前,小一 ,中文,男,深水埗,"1 堂 x 1小時, 星期一三四六日",$160,要有經驗，全職補職導師 一三四 5PM 六下午 日全日 聖誕可補多兩堂
3日前,小五 ,全科,女,屯門,"1 堂 x 1.5小時, 星期六",$100,六：早上／下午，女導師
3日前,中三 ,"數學,物理",男,西灣河,"1 堂 x 1.5小時, 星期日",$150,下午，男或女導師
3日前,小二 ,"中文,英文,數學",女,灣仔,"3 堂 x 1小時, 星期一三日",$100,有耐性及嚴格女老師 平日 5:30PM 星期日 早上
3日前,中二 ,全科,男,柴灣,"1 堂 x 1.5小時, 星期六",$110,導師英文中學畢業較佳 男或女導師 2PM
3日前,小四 ,全科,女,屯門,"2 堂 x 2小時, 星期一至五",$100,"1月開始，平日:5-8PM,女導師，有耐性"
3日前,中六 ,"中文,英文",男,屯門,"2 堂 x 2小時, 星期一二六日",$180,一二晚上 六日早上 女導師
3日前,中六 ,"中文,英文,數學,通識",女,沙田,"2 堂 x 1小時, 星期三",$150,申請補習個案
3日前,中五 ,"物理,化學,生物",男,太古,"2 堂 x 2小時, 星期一二四五六日",$160,男導師，主要補 PHYSICS，一日平日加一日週末 平日：4:30pm 週六日: 10AM-12AM／2-6 PM 都可以
3日前,小一 ,"中文,英文,數學",女,馬鞍山,"2 堂 x 1小時, 星期一三四",$100,女導師 讀緊教育大學或教育系的導師 5：30PM 要求導師普通話及英文水平高
3日前,小五 ,"中文,英文",男,慈雲山,"1 堂 x 1小時, 星期二",$90,4:30PM 男或女導師
3日前,小四 ,全科,女,荃灣,"2 堂 x 2小時, 星期一至五",$90,"隔日 5-7PM,女導師"
3日前,小二 ,英文,女,青衣,"2 堂 x 1小時, 星期一四六",$100,一四：4-6PM，六：晚上，日：下午，有經驗，英文流利，女大學生
4日前,中一 ,"數學,化學",女,大埔區,"1 堂 x 1小時, 星期一至日",$130,一至日：全日
4日前,小一 ,全科,男,大埔,"3 堂 x 1.5小時, 星期一三五",$120,一三五：5-6PM，女大學生
4日前,中四 ,"數學,物理,化學",男,西營盤,"2 堂 x 1.5小時, 星期三六",$150,香港大學本科生或大學畢業優先
5日前,小六 ,"全科,英文",女,東涌,"1 堂 x 2小時, 星期六",$100,3-5PM 女導師
5日前,中六 ,中文,男,九龍灣,"1 堂 x 1.5小時, 星期六",$160,"六:早上,大學生"
5日前,小六 ,"英文,通識",女,大角咀,"2 堂 x 1.5小時, 星期二日",$140,二 4PM／日下午 讀HKU的 女導師
5日前,中六 ,"數學,化學",女,日出康城,"1 堂 x 1小時, 星期一二",$200,7PM 男或女導師
5日前,小五 ,英文,男,南區,"1 堂 x 1小時, 星期一至五",$150,6-7PM開始 香港大學學生 或 大學畢業生 男或女導師
5日前,中六 ,中文,女,屯門,"1 堂 x 1.5小時, 星期一至日",$160,男或女導師 有經驗，補過高中DSE 平日放學後或星期六日全日都可以
5日前,小四 ,英文,男,葵涌,"1 堂 x 1.5小時, 星期二四",$130,4:30PM，英文考L5*以上，女大學生
5日前,中四 ,"經濟,企業概論",男,南昌,"2 堂 x 1.5小時, 星期二三",$130,申請補習個案
5日前,中五 ,經濟,男,上水,"1 堂 x 1.5小時, 星期五",$160,五：6PM，中文讀經濟
6日前,小三 ,數學,女,大圍,"2 堂 x 2小時, 星期六日",$150,小三、小六2位一齊補，大學程度，主修數學，熟悉小學數學課程，嚴謹有經驗、有責任心。逢星期六、日下午3點。
6日前,小四 ,中文,女,太子,"1 堂 x 1.5小時, 星期一六",$200,女導師 小四／小一 兩個學生 星期一 4：30Pm/星期六 10Am 必須主修中文系 大學生 ～$100／全職導師～$200／小學老師～$300
