Date,Year of Study,Subject,Sex,Location,Time,Salary,Remarks
12/21/2017,F.1,"全科,英文,數學",女,香港仔海怡半島,"星期四/五4:30-6:00pm,1.5小時",$120/小時,"女大學生,有經驗,成績良好"
12/21/2017,P.1,英文,男,沙田水泉澳,"星期二4:00-6:00pm,四6:30-8:30pm,2小時(下星期補三堂,補星期二三五4:00-",$100/小時,"男女亦可,有責任心，有耐心，有經驗"
12/21/2017,P.6,全科,女,元朗臻柏,"星期二,四 6:00-7:30pm,1.5小時",$100/小時,"女導師,有經驗,30歲後"
12/21/2017,P.6,全科,其它,北角渣華大廈,"星期二四五,4:00-7:00pm,3小時",$80/小時,"男女亦可,有經驗,主動d"
12/21/2017,P.2,全科(高主教),男,銅鑼灣大坑道光明台,"星期一二4:00pm后,星期六,早上,1.5小時",$100/小時,"男女亦可,2年經驗或以上優先,有耐性"
12/21/2017,F.1,"中文,數學(英中)",男,元朗大棠路德宗苑,"一星期2-3天,6:00pm,1.5小時",$100/小時,"男女也可,有經驗,成績良好"
12/21/2017,F.5,Geog,女,油塘油麗村,"一星期 1 天, 1.5小時",$150/小時,"女,大學生,成績良好"
12/21/2017,F.3,中英數(中中),女,大圍顯田村,"星期一四4:30pm,六日4:00pm,其中2天,1.5小時",$120/小時,"女導師,有責任,提供筆記"
12/21/2017,P.4,"全科,中文,英文,數學",男,青衣長青?,星期一三5:00-6:30;星期五 4:00-5:30pm,$90/小時,"男女亦可,大學生,有經驗"
12/21/2017,P.3,全科,男,荔枝角碧海藍天,"星期一至四,8:00-9:30pm,1.5小時",$100/小時,"女導師,有經驗,有責任心,嚴格"
12/21/2017,F.6,"英文,物理,化學(中中)",男,調景嶺地鐵站附近,"星期六日12:00am后,1.5小時",$180/小時,"男女亦可,有經驗,有耐性"
12/21/2017,P.2,普通話,女2名,荃灣荃景花園,"星期六/日11:00-1:00am,其中1.5小時",$100/小時,"女導師,普通話流利,P1,P2"
12/21/2017,P.2,鋼琴（1級）,女2名,荃灣荃景花園,"星期六/日11:00-1:00am,每人45分鐘",$150/小時,"女,鋼琴8級以上,P1,P2"
12/21/2017,F.3,"中文,數學,Phy",女,大角咀港灣豪庭,"星期二7:00-8:30pm,六10:00-12:00am",$180/小時,"女大學生,有經驗,成績5*以上"
12/21/2017,P.1,"全科,數學",男,九龍灣德福花園,"星期三,五5:30-7:00pm,1.5小時",$100/小時,"男女亦可,有耐性,嚴肅d"
12/21/2017,F.1,全科 (英中),女,中環羅便臣道,"星期二6:00-7:30pm,星期六4:30-6:00pm,1.5小時",$130/小時,"女大學生,有經驗,有耐性"
12/21/2017,P.5,數學,女,香港仔海怡半島,"星期六3:00-4:30pm,1.5小時",$120/小時,"女導師優先,有經驗,要主動"
12/21/2017,P.1,全科,女,天水圍俊宏軒,"星期二,五,4:30-6:00pm,1.5小時",$100/小時,"女導師,有經驗,有耐性"
12/21/2017,P.6,樂理,男,何文田窩打老道,"星期日11:00,1小時",$110/小時,"男女亦可,有經驗,時間穩定"
12/21/2017,P.6,數學,女,荔枝角昇悅居,"星期三,五5:30-7:00pm,1.5小時",$130/小時,"男女亦可,數學5*以上,有經驗"
12/21/2017,F.2,英文 數學 （中中）,女,沙田水泉澳?,"星期二,四 6:00-7:30pm 1.5小時",$120/小時,"女大學生,有經驗"
12/21/2017,F.5,"Maths,Bio (英中)",女,油塘油麗村,"一星期 1 天, 2小時",$170/小時,"女,大學生,有經濟,有耐性"
12/21/2017,F.5,英文(中中),女,樂富樂富中心,"星期一至五5:00pm后,其中2天,1小時",$140/小時,"女導師,成績5*優先,浸會大學優先"
12/21/2017,F.1,"理科(Phy,Chem,Bio)",男,將軍澳近地鐵,"星期六8:00-9:30pm,1.5小時",$130/小時,"男大學生,數理成績良好,有經驗"
12/21/2017,F.3,"全科,中文",男,香港仔海怡半島,"星期一/二/三4:30-6:00pm,1.5小時",$140/小時,"男大學生,有經驗,中文成績良好"
12/21/2017,P.6,中文,男,?漁涌地鐵站附近,"星期日,4:00-5:30pm,1.5小時",$300/小時,"現職小學中文導師,有經驗,現教P6優先"
12/21/2017,F.2,"全科,數學(中中)",女,柴灣興民村,"星期六,日,10:00-11:30am,1.5小時",$110/小時,"女導師,成績良好,有耐心,有經驗"
12/20/2017,K.3以下,英文會話,男,大圍恆峰花園,星期二 6:00-7:00pm 1小時,$100/小時,"女導師,有愛心,有耐性,K1"
12/20/2017,F.2,數學（英中）,男,中環羅便臣道,"星期一5:00-6:30pm,六10:00-11:30am",$120/小時,"男大學生,成績5以上,有經驗"
12/20/2017,P.6,數學,男,何文田窩打老道,"星期三,五,5:00-6:30pm,1.5小時",$100/小時,"男女亦可,有經驗,數學成績良好"
12/20/2017,P.2,"全科,中文",男,深井豪景花園,"星期一,三,5:00-6:30pm,1.5小時",$100/小時,"女導師,中文成績良好,有經驗"
12/20/2017,P.6,全科,女,青龍頭豪景花園,"星期一二四7:00-8:30pm,1.5小時",$100/小時,"女導師,有經驗,有耐性"
12/20/2017,P.2,全科,男,元朗翹翠峰,"星期一至四4:00-6:30pm,其中1.5小時",$120/小時,"女導師,有責任心,有經驗,"
12/20/2017,P.4,數學,男,天水圍嘉湖山莊景湖居,"星期一,四,5:00-6:30pm,1.5小時",$170/小時,"要求全職數學補習老師,有方法,準時"
12/20/2017,F.5,BAFS(中中),女,元朗大公園附近,"星期日,10:00-12:00pm,2小時",$170/小時,"女大學生,BAFS成績5以上,有經驗,主動d"
12/20/2017,K.3以下,全科,女,大埔富亨村,"星期一,三,五,4:00-5:30pm,1.5小時",$100/小時,"細心d,男女都可,住附近優先,有責任感"
12/20/2017,F.3,English(英中),男,九龍灣樂雅苑,"星期日,13:00-15:00pm,2小時",$140/小時,"男,有教英文經驗,成績良好,英中學生"
12/20/2017,P.5,英文,男,九龍站漾日居,"星期三,五,6:00-8:00pm,2小時",$250/小時,"要求現職小學英文老師,有時間,嚴厲d"
12/20/2017,F.4,中文(中中),男,北角清華街,"星期六or日,16:00-18:00pm,2小時",$160/小時,"中中學生優先,中文成績5**,有經驗"
12/20/2017,P.4,"全科,中文,英文",女,黃大仙及新蒲崗雲景花園,"星期二,三,四,5:30-7:00pm,1.5小時",$110/小時,"成績良好,主動溝通,細心d,住附近優先"
12/20/2017,F.5,經濟(英中),男,沙田河畔花園,"星期六,10:00-12:00am,2小時",$180/小時,"男,有教經濟經驗,畢業生優先,時間穩定"
12/20/2017,P.3,"全科,數學",女,藍田匯景花園,"星期二至五,5:00-6:30pm,1.5小時",$100/小時,"主要補數學,女導師,細心d,有經驗"
12/20/2017,F.2,數學(英中),女,長沙灣近明愛醫院,"星期六/日,14:00-16:00pm,2小時",$130/小時,"女,英中學生,數學成績5以上,提供練習"
12/20/2017,F.6,數學(中中),男,觀塘順利宿舍,"星期四五8:00pm/星期六日,全日,1.5小時",$180/小時,"男女亦可,主動d,成績良好"
12/20/2017,F.1,"細心d,成績良好,1年以上經驗,住附近優先",男,大圍隆亨村,"星期六,日,14:00-16:00pm,2小時",$120/小時,"大學生優先,成績良好,1年以上經驗"
12/20/2017,P.1,全科,女,西貢市中心,"星期一至五,4:00-5:30pm,1.5小時",$100/小時,"中六以上,女,有經驗及耐性,主要教功課"
12/20/2017,P.6,中文,男,屯門悅湖山莊,"星期一至五其中2天,6:00pm開始,2小時",$110/小時,"大學生優先,中文成績良好,1年以上經驗"
12/20/2017,P.2,英文,女,上水市中心,"星期一,三,4:00-5:30pm,1.5小時",$160/小時,"要求全職英文補習老師,時間穩定"
12/20/2017,P.5,全科,男,荃灣寶石大廈,"星期一6:00-7:30pm,四5:30-7:00pm,",$100/小時,"女導師,有經驗,有耐性,1月開始"
12/20/2017,P.2,"英文,數學",女,屯門友愛?,"星期一,二,四 5:00-6:30pm,1.5小時",$80/小時,"女導師,有經驗,有耐性"
