Date,Year of Study,Subject,Sex,Location,Time,Salary,Remarks
2017-12-20,P.3,"英文,數學(中小)",女,荃灣麗城花園,"星期日,10:00-12:00am,1.5-2小時",$90/小時,"女導師,成績良好,有經驗,有耐心"
2017-12-20,F.5,PHY (英中),男,沙田帝堡城,"一星期1天,1.5小時",$250/小時,"現職中學物理老師,有經驗"
2017-12-20,F.5,BAFS(Account),女,北角堡壘街,"星期六11:15-12:45am,1.5小時",$160/小時,"大學生,成績良好,有經驗"
2017-12-20,F.2,"中文,英文",男,跑馬地雲地利道附近,"星期六,日,11:00-13:00am,2小時",$130/小時,"男導師,中英文成績良好,可提供教材"
2017-12-20,P.4,"全科,中文",男,尖沙咀玫瑰堂附近,"星期一,二,四,5:30-7:00pm,1.5小時",$110/小時,"主要教中文,男女導師都可,主動溝通"
2017-12-20,F.4,通識(英中),男,元朗朗平村,"星期日,10:00-12:00am,2小時",$150/小時,"男大學生,通識成績5*,2年以上經驗,嚴d"
2017-12-20,P.3,全科,女,九龍城科發道,"星期一至三,5:00-6:30pm,1.5小時",$100/小時,"細心d,成績良好,1年以上經驗,住附近"
2017-12-20,P.5,"全科,英文,數學",女,觀塘曉麗苑,"星期二,三,五,6:00-7:30pm,1.5小時",$110/小時,"時間穩定,可長補,成績良好,有方法"
2017-12-20,F.3,Macth(英中),女,西環士美菲路,"星期六or日,10:00-12:00am,2小時",$150/小時,"女大學生,有經驗,數學成績5*以上"
2017-12-19,P.5,"全科,數學",女,油尖區近九龍公園,"星期三至五,5:30-7:00pm,1.5小時",$100/小時,"主要教數學,女導師,成績良好,提供練習"
2017-12-19,P.2,"全科,英文",男1名女1名,則魚涌康景花園,"星期一,二,四,五,4:00pm後,2小時",$100/小時,"主要教功課,男女亦可,細心d,有責任感"
2017-12-19,P.1,全科,女,火炭駿景園,"星期一,三,六,10:00-11:15am,75分鐘",$100/小時,"女大學生,有經驗,主動"
2017-12-19,F.5,化學(中中),男,何文田巴富街,"星期六,4:00-6:00pm,2小時",$160/小時,"要求男導師,有經驗,化學成績5以上"
2017-12-19,P.3,鋼琴(2級),女,將軍澳健明村,"星期六,11:00-11:45am,45mins",$150/小時,"有教鋼琴經驗,女導師,細心d,有耐心"
2017-12-19,F.2,"中文,英文",男,紅磡必嘉街必嘉圍,"星期六,日,10:30-12:00am,1.5小時",$130/小時,"中英文成績良好,1年以上經驗,男導師"
2017-12-19,P.4,數學,男,香港仔黃竹坑,"星期三,五,5:00-7:00pm,2小時",$250/小時,"要求現職小學數學老師,嚴厲d,時間穩定"
2017-12-19,F.6,BAFS(英中),男,西環山市街,"星期日,10:00-12:00am,2小時",$170/小時,"英中學生優先,有教BAFS經驗,成績良好"
2017-12-19,F.1,"中文,英文,數學",女,美孚曼克頓山,"星期二,五,6:30-8:00pm,1.5小時",$120/小時,"女大學生,有經驗,成績良好,細心d"
2017-12-19,P.5,中文,男,沙田市中心,"星期日　 2:00-3:30pm, 1.5小時",$233.3/小時,"現職小學中文老師,有經驗"
2017-12-19,P.5,"全科,英文,數學",男,荃灣梨木樹村,"星期一至五其中3天,5:00pm後開始,1.5小時",$110/小時,"大學生優先,男女都可,成績良好,守時"
2017-12-19,P.3,"全科,中文",男,深水步北河街,"星期二,三,五,5:00-6:30pm,1.5小時",$100/小時,"細心d,有經驗及耐性,住附近優先選擇"
2017-12-19,F.5,物理(中中),女,香港仔中心附近,"星期六or日,10:00-12:00am,2小時",$160/小時,"物理成績5以上,女大學生,有方法及耐性"
2017-12-19,F.3,英文(英中),男,黃大仙龍翔中心,"星期日,11:00-13:00am,2小時",$140/小時,"要求英中學生,成績良好,有方法,有經驗"
2017-12-19,P.2,"全科,英文,中文",女,大埔大尾篤村,"星期一,二,四,五,4:00pm後,1.5小時",$100/小時,"中六以上,有經驗及耐性,女導師優先"
2017-12-19,F.1,英文（英中）,男,大角咀奧海城,"星期三 5:00-6:30pm,1.5小時",$120/小時,"女大學生,有經驗"
2017-12-19,P.6,全科,其它,北角渣華大廈,"星期一,三,4:00-7:00pm,3小時",$80/小時,"男女亦可,有經驗,主動d"
2017-12-19,F.2,"全科,英文",女,何文田何文田邨,"星期日,1.5小時",$120/小時,"女大學生,有經驗,有耐性"
2017-12-19,P.5,全科,女,沙田第一城附近,"星期二三五 5:30-7:00pm,1.5小時",$100/小時,"女導師,有經驗,有耐性"
