Date,Year of Study,Subject,Sex,Location,Time,Salary,Remarks
12/21/2017 ,小二 ,全科,男,美孚,每週3堂 / 每堂1.5小時,HKD$110每小時,補習費$100-$120/小時，視乎導師經驗和資歷。星期一三五當中2堂，1630後；另星期六早上必須有1堂，1030-1230之間。 家長強調學生較佻皮，導師一定要有經驗。（並非SEN學童）
12/21/2017 ,小六 ,全科,男,鰂魚涌,每週3堂 / 每堂1.5小時,HKD$110每小時,星期一四五1630-2000之間，星期二三可再協商
12/21/2017 ,中二 ,全科,男,天水圍,每週1堂 / 每堂2小時,HKD$150每小時,
12/21/2017 ,小六 ,全科,女,坑口,每週4堂 / 每堂1.5小時,HKD$100每小時,有專線小巴來回科大
12/20/2017 ,中五 ,"數學, 經濟",女,將軍澳,每週1堂 / 每堂1.5小時,HKD$120每小時,
12/20/2017 ,小四 ,"全科, 中文(普教中)",男,旺角,每週4堂 / 每堂2小時,HKD$130每小時,主要補普教中/普通話，補習費$120-$130/小時。星期一至四1700後（聖誕假時間可提早）。學生是小四，另有小二弟弟或會問問功課（不是經常的），一對一補習。若同一導師不能來4天，可分2位導師
12/20/2017 ,中三 ,"中文, 英文 English",男,上水,每週3堂 / 每堂1.5小時,HKD$150每小時,學生目前是自修生，下年會入返學校讀，所以補習時間可相就，下午就ok。
12/20/2017 ,中三 ,全科,男,錦上路,每週1堂 / 每堂2小時,HKD$160每小時,
12/20/2017 ,小三 ,中文,男,何文田,每週2堂 / 每堂1小時,HKD$120每小時,
12/20/2017 ,中五 ,"全科, 中文, 英文 English, 數學, 物理, 通識",女,深水埗區,每週2堂 / 每堂1.5小時,HKD$150每小時,
12/20/2017 ,中三 ,"中文, 英文 English",男,黃大仙,每週1堂 / 每堂1.5小時,HKD$150每小時,12月放假期間，可以星期一至五1400後其中1天。1月返學後，需要逢星期日1400後。導師需嚴格，因學生較懶散。
12/20/2017 ,幼稚園 ,英文 English,男,北角,每週1堂 / 每堂1小時,HKD$150每小時,并不是要补习，只需要来家里帮忙网上申请一些国际学校，需要填很多东西，希望可以来家里帮忙一起填一些学校的申请表。
12/20/2017 ,大專以上 ,其他,男,kowloon,其他學業科目:,每週1堂 / 每堂1小時,HKD$100每小時
12/19/2017 ,中二 ,"英文 English, 數學, 數學(英文教學) Maths, 常識, 地理, 世史",女,觀塘,每週3堂 / 每堂1.5小時,HKD$140每小時,
12/19/2017 ,小五 ,數學(英文教學) Maths,男,Hk,每週4堂 / 每堂1小時,HKD$200每小時,要求有國際學校補習經驗的在職老師
