Ranking,University Name,Country,Website,Address,Year of foundation,Source
501-600,Auburn University,USA,,,,arwu
501-600,Baylor University,USA,,,,arwu
501-600,Beijing Institute of Technology,China,,,,arwu
501-600,Catholic University of Korea,SouthKorea,,,,arwu
501-600,Catholic University of the Sacred Heart,Italy,,,,arwu
501-600,Chongqing University,China,,,,arwu
501-600,Chonnam National University,SouthKorea,,,,arwu
501-600,Chung-Ang University,SouthKorea,,,,arwu
501-600,Chungbuk National University,SouthKorea,,,,arwu
501-600,Donghua University,China,,,,arwu
501-600,Ehime University,Japan,,,,arwu
501-600,Eotvos Lorand University,Hungary,,,,arwu
501-600,Erciyes University,Turkey,,,,arwu
501-600,Federal University of Parana,Brazil,,,,arwu
501-600,Federal University of Viçosa,Brazil,,,,arwu
501-600,Georgia State University,USA,,,,arwu
501-600,Hacettepe University,Turkey,,,,arwu
501-600,Hefei University of Technology,China,,,,arwu
501-600,International School for Advanced Studies,Italy,,,,arwu
501-600,Kansas State University,USA,,,,arwu
501-600,Kitasato University,Japan,,,,arwu
501-600,Konkuk University,SouthKorea,,,,arwu
501-600,Loyola University Chicago,USA,,,,arwu
501-600,Macau University of Science and Technology,China-mc,,,,arwu
501-600,Mahidol University,Thailand,,,,arwu
501-600,Marche Polytechnic University,Italy,,,,arwu
501-600,Massey University,NewZealand,,,,arwu
501-600,Medical University of Graz,Austria,,,,arwu
501-600,Memorial University of Newfoundland,Canada,,,,arwu
501-600,Moscow Institute of Physics and Technology,Russia,,,,arwu
501-600,NanJing Tech University,China,,,,arwu
501-600,Nara Institute of Science and Technology,Japan,,,,arwu
501-600,National Central University,China-tw,,,,arwu
501-600,National Polytechnic Institute,Mexico,,,,arwu
501-600,National University of Cordoba,Argentina,,,,arwu
501-600,National University of Malaysia,Malaysia,,,,arwu
501-600,National Yang Ming University,China-tw,,,,arwu
501-600,New Jersey Institute of Technology,USA,,,,arwu
501-600,New University of Lisbon,Portugal,,,,arwu
501-600,Northeast Normal University,China,,,,arwu
501-600,Northwest A&F University,China,,,,arwu
501-600,Northwestern Polytechnical University,China,,,,arwu
501-600,Old Dominion University,USA,,,,arwu
501-600,Pusan National University,SouthKorea,,,,arwu
501-600,Rensselaer Polytechnic Institute,USA,,,,arwu
501-600,"Royal Holloway, University of London",UK,,,,arwu
501-600,Saitama University,Japan,,,,arwu
501-600,San Diego State University,USA,,,,arwu
501-600,Scuola Normale Superiore - Pisa,Italy,,,,arwu
501-600,Shanghai University,China,,,,arwu
501-600,Sharif University of Technology,Iran,,,,arwu
501-600,Southern University of Science and Technology,China,,,,arwu
501-600,State University of New York Health Science Center at Brooklyn,USA,,,,arwu
501-600,Technical University of Braunschweig,Germany,,,,arwu
501-600,Tehran University of Medical Sciences,Iran,,,,arwu
501-600,Texas Tech University,USA,,,,arwu
501-600,The University of Texas at San Antonio,USA,,,,arwu
501-600,University of Alaska - Fairbanks,USA,,,,arwu
501-600,University of Arkansas at Fayetteville,USA,,,,arwu
501-600,University of Arkansas at Little Rock,USA,,,,arwu
501-600,University of Bari,Italy,,,,arwu
501-600,University of Bath,UK,,,,arwu
501-600,University of Duisburg-Essen,Germany,,,,arwu
501-600,University of Essex,UK,,,,arwu
501-600,University of Genoa,Italy,,,,arwu
501-600,University of Giessen,Germany,,,,arwu
501-600,University of Graz,Austria,,,,arwu
501-600,University of Hohenheim,Germany,,,,arwu
501-600,University of Jyvaskyla,Finland,,,,arwu
501-600,University of Macau,China-mc,,,,arwu
501-600,"University of Maryland, Baltimore County",USA,,,,arwu
501-600,University of Oldenburg,Germany,,,,arwu
501-600,University of Oviedo,Spain,,,,arwu
501-600,University of Parma,Italy,,,,arwu
501-600,University of Perugia,Italy,,,,arwu
501-600,University of Portsmouth,UK,,,,arwu
501-600,University of Pretoria,SouthAfrica,,,,arwu
501-600,University of Rhode Island,USA,,,,arwu
501-600,University of Science and Technology Beijing,China,,,,arwu
501-600,University of Seville,Spain,,,,arwu
501-600,University of South Australia,Australia,,,,arwu
501-600,University of Strathclyde,UK,,,,arwu
501-600,University of Szeged,Hungary,,,,arwu
501-600,University of the Balearic Islands,Spain,,,,arwu
501-600,University of Trento,Italy,,,,arwu
501-600,University of Udine,Italy,,,,arwu
501-600,University of Ulsan,SouthKorea,,,,arwu
501-600,University of Versailles Saint-Quentin-en-Yvelines,France,,,,arwu
501-600,University of Vigo,Spain,,,,arwu
501-600,University of Wisconsin-Milwaukee,USA,,,,arwu
501-600,University of Zagreb,Croatia,,,,arwu
501-600,University of Zaragoza,Spain,,,,arwu
501-600,University Putra Malaysia,Malaysia,,,,arwu
501-600,Utah State University,USA,,,,arwu
