Ranking,University Name,Country,Website,Address,Year of foundation,Source
1,Harvard University,USA,http://www.harvard.edu,"Harvard University, Cambridge, Massachusetts 02138-3800, United States of America",1636,
2,Stanford University,USA,http://www.stanford.edu,450 Serra Mall,1885,
3,University of Cambridge,UK,http://www.cam.ac.uk,"The Old Schools, Trinity Lane",1318,
4,Massachusetts Institute of Technology (MIT),USA,http://web.mit.edu/,77 Massachusetts Avenue,1861,
5,"University of California, Berkeley",USA,http://berkeley.edu/,"University of California, Berkeley, Berkeley, California 94720-0001, United States of America",1868,
6,Princeton University,USA,http://www.princeton.edu,"Princeton University, Princeton, New Jersey 08544-1098, United States of America",1746,
7,University of Oxford,UK,http://www.ox.ac.uk,Wellington Square,1096,
8,Columbia University,USA,http://www.columbia.edu,116th Street and Broadway,1754,
9,California Institute of Technology,USA,http://www.caltech.edu/,1200 East California Boulevard,1891,
10,University of Chicago,USA,http://www.uchicago.edu/,"1101 East 58th Street, Chicago, IL 60637",1890,
11,Yale University,USA,http://www.yale.edu,"Yale University, New Haven, Connecticut 06520, United States of America",1701,
12,"University of California, Los Angeles",USA,http://www.ucla.edu,405 Hilgard Avenue,1919,
13,University of Washington,USA,http://www.washington.edu/,Seattle WA 98195,1861,
14,Cornell University,USA,http://www.cornell.edu,"Cornell University, Ithaca, N.Y. 14853-0001, United States of America",1865,
15,"University of California, San Diego",USA,http://www.ucsd.edu,9500 Gilman Drive,1960,
16,University College London,UK,http://www.ucl.ac.uk,Gower Street,1826,
17,University of Pennsylvania,USA,http://www.upenn.edu/,"1 College Hall, Room 100",1740,
18,Johns Hopkins University,USA,http://www.jhu.edu,"The Johns Hopkins University, Charles & 34th Street, Baltimore, Maryland 21218-2680, United States of America",1876,
19,Swiss Federal Institute of Technology Zurich,Switzerland,http://www.ethz.ch,Ramistrasse 101,1855,
20,Washington University in St. Louis,USA,http://www.wustl.edu,"ashington University in St. Louis, One Brookings Drive, St. Louis, Missouri 63130-4899, United States of America",1853,
21,"University of California, San Francisco",USA,http://www.ucsf.edu,"University of California, San Francisco, Mu 200 West, 500 Parnassus Avenue, San Francisco, California 94143-0402, United States of America",1868,
22,Northwestern University,USA,http://www.northwestern.edu,"Northwestern University, 633 Clark Street, Evanston, Illinois 60208-3854, United States of America",1851,
23,University of Toronto,Canada,http://www.utoronto.ca,"27 King's College Circle, Room 206, Simcoe Hall",1827,
24,The University of Tokyo,Japan,http://www.u-tokyo.ac.jp,"Tokyo Daigaku, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-8654, Japan",1877,
24,University of Michigan-Ann Arbor,USA,http://umich.edu,500 S. State Street,1817,
26,Duke University,USA,http://www.duke.edu,"Duke University, 207 Allen Building, Box 90001, Durham, North Carolina 27708-0001, United States of America",1838,
27,Imperial College London,UK,http://www3.imperial.ac.uk/,South Kensington,1907,
28,University of Wisconsin - Madison,USA,http://www.wisc.edu/,161 Bascom Hall 500 Lincoln Drive,1848,
29,New York University,USA,http://www.nyu.edu,"New York University, 70 Washington Square South, New York, N.Y. 10012-1092, United States of America",1831,
30,University of Copenhagen,Denmark,http://www.ku.dk/english,"University of Copenhagen, Nørregade 10, 1165 København K, Denmark",1479,
31,University of British Columbia,Canada,http://www.ubc.ca,2329 West Mall,1915,
32,The University of Edinburgh,UK,http://www.ed.ac.uk,"Old College, South Bridge",1583,
33,University of North Carolina at Chapel Hill,USA,http://www.unc.edu,"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599-0001, United States of America",1789,
34,"University of Minnesota, Twin Cities",USA,http://twin-cities.umn.edu/,100 Church St. SE,1851,
35,Kyoto University,Japan,http://www.kyoto-u.ac.jp/index-e.html,"Kyoto Daigaku, Yoshida-Honmachi, Sakyo-ku, Kyoto-shi, Kyoto 606-8501, Japan",1897,
36,Rockefeller University,USA,http://www.rockefeller.edu,"Rockefeller University, 1230 York Avenue, New York, N.Y. 10021-6399, United States of America",1901,
37,University of Illinois at Urbana-Champaign,USA,http://illinois.edu,601 E. John Street,1867,
38,The University of Manchester,UK,http://www.manchester.ac.uk,Oxford Road,1851,
39,The University of Melbourne,Australia,http://www.unimelb.edu.au,Parkville,1853,
40,Pierre and Marie Curie University - Paris 6,France,http://www.upmc.fr,"4, Place Jussieu",1971,
41,University of Paris-Sud (Paris 11),France,http://www.u-psud.fr,15 rue Georges Clémenceau,1971,
42,Heidelberg University,Germany,http://www.uni-heidelberg.de,Grabengasse 1,1386,
43,University of Colorado at Boulder,USA,http://www.colorado.edu/,914 Broadway,1876,
44,Karolinska Institute,Sweden,http://www.ki.se,Nobels Väg 6,1810,
45,"University of California, Santa Barbara",USA,http://www.ucsb.edu,University of California,1909,
46,King's College London,UK,http://www.kcl.ac.uk/,Strand,1829,
47,Utrecht University,Netherlands,http://www.uu.nl,P.O. Box 80125,1636,
48,The University of Texas Southwestern Medical Center at Dallas,USA,http://www.swmed.edu,"The University of Texas Southwestern Medical Center at Dallas, 5323 Harry Hines Boulevard, Dallas, Texas 75390-9002, United States of America",1943,
48,Tsinghua University,China,http://www.tsinghua.edu.cn,"1 Qinghuayuan, Haidai District,",1911,
50,Technical University Munich,Germany,http://www.tum.de,Arcisstrasse 21,1868,
51,The University of Texas at Austin,USA,http://www.utexas.edu,"The University of Texas at Austin, University Station, Austin, Texas 78712-1111, United States of America",1883,
52,Vanderbilt University,USA,http://www.vanderbilt.edu,2305 West End Avenue,1873,
53,"University of Maryland, College Park",USA,http://www.umd.edu,"University of Maryland College Park, College Park, Maryland 20742-0001, United States of America",1856,
54,University of Southern California,USA,http://www.usc.edu/,University Park,1880,
55,The University of Queensland,Australia,http://www.uq.edu.au,"The University of Queensland, St Lucia, Queensland 4072, Australia",1910,
